source	preferred_ja	alt_ja	category	notes
Hold Monster	怪物金縛り	ホールドモンスター|Hold Monster	spell	システム文では漢字和訳を優先。
False Life	偽りの生命	フォールス・ライフ|False Life	spell	システム文では漢字和訳を優先。
Haste	加速	ヘイスト|Haste	spell	システム文では漢字和訳を優先。
Pass without Trace	跡を残さぬ移動	パス・ウィズアウト・トレイス|Pass Without Trace	spell	システム文では漢字和訳を優先。
Bestow Curse	呪詛	ビストウ・カース|Bestow Curse	spell	システム文では漢字和訳を優先。
Confusion	精神混乱	コンフュージョン|Confusion	spell	システム文では漢字和訳を優先。
Slow	減速	Slow	spell	システム文では漢字和訳を優先。
Insect Plague	蝗群	インセクト・プレイグ|Insect Plague	spell	システム文では漢字和訳を優先。
Light	光	ライト	spell	システム文では漢字和訳を優先。
Vicious Mockery	悪意ある嘲り	ヴィシャス・モッカリィ|Vicious Mockery	spell	システム文では漢字和訳を優先。
Shillelagh	棍棒	シャレイリ|Shillelagh	spell	システム文では漢字和訳を優先。
Sacred Flame	聖なる炎	セイクリッド・フレイム|Sacred Flame	spell	システム文では漢字和訳を優先。
Greatsword	グレートソード	大剣	weapon	公式武器名はグレートソードを維持。
Battleaxe	バトルアックス	戦斧	weapon	公式武器名はバトルアックスを維持。
Greataxe	グレートアックス	大斧|グレートアクス	weapon	公式武器名はグレートアックスを維持。
Halberd	ハルバード	ハルバード	weapon	公式武器名を維持。
Handaxe	ハンドアックス	手斧	weapon	公式武器名を維持。
Dagger	ダガー	短剣	weapon	公式武器名を維持。
Dart	ダーツ	ダーツ	weapon	公式武器名を維持。
Club	クラブ		weapon	公式武器名を維持。
Greatclub	グレートクラブ	大棍棒	weapon	公式武器名を維持。
Longbow	ロングボウ	ロングボウ	weapon	公式武器名を維持。
Longsword	ロングソード	ロングソード	weapon	公式武器名を維持。
Mace	メイス	メイス	weapon	公式武器名を維持。
Morningstar	モーニングスター	モーニングスター	weapon	公式武器名を維持。
Quarterstaff	クオータースタッフ	クォータースタッフ	weapon	公式武器名を維持。
Rapier	レイピア	レイピア	weapon	公式武器名を維持。
Scimitar	シミター	シミター	weapon	公式武器名を維持。
Shortbow	ショートボウ	ショートボウ	weapon	公式武器名を維持。
Shortsword	ショートソード	ショートソード	weapon	公式武器名を維持。
Flail	フレイル	フレイル	weapon	公式武器名を維持。
Glaive	グレイヴ		weapon	公式武器名を優先。
Javelin	ジャヴェリン	やり投げ|ジャベリン	weapon	公式武器名を優先。
Lance	ランス	ランス	weapon	公式武器名を維持。
Net	ネット	Net	weapon	公式武器名を優先。
chain mail	チェイン・メイル	チェインメイル|Chain Mail	armor	公式防具名を優先。
half plate	ハーフ・プレート	ハーフプレート|半皿|Half Plate	armor	公式防具名を優先。
breastplate	ブレストプレート	胸当て|Breastplate	armor	公式防具名を優先。
scale mail	スケイル・メイル	スケールメール|Scale Mail	armor	公式防具名を優先。
ring mail	リング・メイル	リングメイル|Ring Mail	armor	公式防具名を優先。
studded leather	スタデッド・レザー	Studded Leather	armor	公式防具名を優先。
Loading	装填	読み込み中|Loading	weapon	武器の特性名を優先。
Darkvision	暗視	ダークヴィジョン|Darkvision	system	ルール語を優先。
Finesse	妙技	Finesse	weapon	武器特性を優先。
Heavy	重武器	Heavy	weapon	武器特性名では重武器を優先。
Versatile	両用	Versatile	weapon	武器特性を優先。
Piercing	刺突	ピアス|Piercing	damage_type	ダメージ種別では刺突を優先。
Spell Scroll	呪文の巻物	Spell Scroll	item	巻物文脈では呪文の巻物を優先。
Scroll	巻物	Scroll	item	巻物文脈では巻物を優先。
Illusion	幻術	イリュージョン|Illusion	school	魔法系統名では幻術を優先。
Illusion	幻	イリュージョン|Illusion	system	一般効果文脈では幻を優先。
Charmed	魅了状態	チャームド|Charmed	condition	状態名では魅了状態を優先。
Opportunity Attack	機会攻撃	オポチュニティ アタック|Attack of Opportunity|Opportunity Attack	system	ルール語は機会攻撃に統一。
Spy	密偵	Spy	creature	公式クリーチャー名を優先。
Orc	オーク	Orc	creature	公式クリーチャー名を優先。
Oni	オニ	Oni	creature	公式クリーチャー名を優先。
Roc	ルフ	Roc	creature	公式クリーチャー名を優先。
Ancient Remorhaz	古代レモルハズ	Ancient Remorhaz	proper_noun	クリーチャー名を統一。
Artificer	アーティフィサー	Artificer	class_feature	system 文では短いクラス名を使う。
Ki	気	Ki	class_feature	system 文では気を使う。
Rod	ロッド	Rod	item	公式の一般語を優先。
Sap	弱体化	Sap	ui	2024 武器マスタリー名の repo 内基準訳。
Vex	翻弄	Vex	ui	2024 武器マスタリー名の repo 内基準訳。
Topple	転倒	Topple	ui	2024 武器マスタリー名の repo 内基準訳。
Malediction	マレディクション	Malediction	spell	homebrew 呪文名を統一。
Sign of Ill Omen	不吉な予兆	Sign of Ill Omen	feature	妖術名を統一。
Soul Hex	魂の呪い	Soul Hex	feature	特徴名を統一。
Raise Skeletal Enforcer	スケルトン・エンフォーサー召喚	Raise Skeletal Enforcer	spell	homebrew 呪文名を統一。
Arcaneum	アルケイナム	Arcaneum|アーケイナム	proper_noun	組織名を統一。
Silent Whisper	サイレント・ウィスパー	Silent Whisper|サイレントウィスパー|サイレント ウィスパー	proper_noun	組織名を統一。
Snow Alliance	雪同盟	Snow Alliance	proper_noun	組織名を統一。
Major Gate	メジャーゲート	Major Gate|メジャー ゲート	proper_noun	repo 固有の固有名詞として統一。
Cylordir Redblade	シロディール・レッドブレード	Cylordir Redblade|シロディール レッドブレード	proper_noun	人名を統一。
Defineth Sharpsight	ディファインス・シャープサイト	Defineth Sharpsight|ディファインス シャープサイト|ディフェンス・シャープサイト	proper_noun	人名を統一。
Defineth Sharpeye	ディファインス・シャープアイ	Defineth Sharpeye|ディファインス シャープアイ	proper_noun	人名を統一。
Kenaloth Darkmind	ケナロス・ダークマインド	Kenaloth Darkmind|ケナロス ダークマインド	proper_noun	人名を統一。
Elgador Keenspirit	エルガドール・キーンスピリット	Elgador Keenspirit	proper_noun	人名を統一。
Violet Goodcheer	ヴァイオレット・グッドチア	Violet Goodcheer	proper_noun	人名を統一。
Exonaïka	エクソナイカ	Exonaïka|エグソナイカ	proper_noun	人名を統一。
Aganazzar's Scorcher	アガナザーの火炎放射	アガナザーズ・スコーチャー|Aganazzar's Scorcher	spell	システム文では漢字和訳を優先。
Blindness/Deafness	視覚・聴覚剥奪	ブラインドネス／デフネス|Blindness/Deafness	spell	システム文では漢字和訳を優先。
Blur	かすみ	ブラー|Blur	spell	システム文では漢字和訳を優先。
Call Lightning	招雷	コール・ライトニング|Call Lightning	spell	システム文では漢字和訳を優先。
Calm Emotions	感情鎮静化	カーム・エモーションズ|Calm Emotions	spell	システム文では漢字和訳を優先。
Command	命令	コマンド|Command	spell	システム文では漢字和訳を優先。
Cloudkill	殺戮の雲	クラウドキル|Cloud Kill|Cloudkill	spell	システム文では漢字和訳を優先。
Cone of Cold	冷気噴射	コーン・オヴ・コールド|Cone of Cold	spell	システム文では漢字和訳を優先。
Contagion	感染	コンテイジョン|Contagion	spell	システム文では漢字和訳を優先。
Create or Destroy Water	水の生成・破壊	クリエイト・オア・デストロイ・ウォーター|Create or Destroy Water	spell	システム文では漢字和訳を優先。
Darkness	暗闇	ダークネス|Darkness	spell	システム文では漢字和訳を優先。
Darkness	暗闇	ダークネス|Darkness	system	一般ルール文でも暗闇を優先。
Disintegrate	分解	ディスインテグレイト|Disintegrate	spell	システム文では漢字和訳を優先。
Divine Word	神言	ディヴァイン・ワード|Divine Word	spell	システム文では漢字和訳を優先。
Dominate Monster	怪物支配	ドミネイト・モンスター|Dominate Monster	spell	システム文では漢字和訳を優先。
Dominate Person	人物支配	ドミネイト・パースン|Dominate Person	spell	システム文では漢字和訳を優先。
Earthquake	地震	アースクウェイク|Earthquake	spell	システム文では漢字和訳を優先。
Eldritch Versatility	エルドリッチ・バーサティリティ	異界の汎用性|Eldritch Versatility	class_feature	repo 内用語を自然な日本語へ統一。
Versatility	バーサティリティ	汎用性|Versatility	ui	repo 内用語を自然な日本語へ統一。
Hold Person	対人金縛り	ホールド・パースン|Hold Person	spell	システム文では漢字和訳を優先。
Illuminated	照らされた	イルミネーション付き|Illuminated	condition	repo 内状態名を自然な日本語へ統一。
Illuminating Burst	照らしの爆発	イルミネイティングバースト|Illuminating Burst	feature	repo 内特徴名を自然な日本語へ統一。
Illuminating Strike	照らしの一撃	イルミネイティングストライク|イルミネーションストライク|Illuminating Strike	feature	repo 内特徴名を自然な日本語へ統一。
Protection from Energy	元素からの保護	プロテクション・フロム・エナジー|Protection from Energy	spell	システム文では漢字和訳を優先。
Resistance	抵抗力	レジスタンス|Resistance	spell	呪文名は抵抗力を優先。
Stoneskin	石の皮膚	ストーンスキン|Stoneskin	spell	システム文では漢字和訳を優先。
Warding Bond	守りの紐帯	ウォーディング・ボンド|Warding Bond	spell	システム文では漢字和訳を優先。
